customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_bucket,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_tier,revenue_at_risk
7590-VHVEG,Female,0,Yes,No,1,0-12,Month-to-month,DSL,Electronic check,29.85,29.85,No,0.6125,High,219.4
5575-GNVDE,Male,0,No,No,34,25-48,One year,DSL,Mailed check,56.95,1889.5,No,0.0439,Low,30.0
3668-QPYBK,Male,0,No,No,2,0-12,Month-to-month,DSL,Mailed check,53.85,108.15,Yes,0.3012,Medium,194.64
7795-CFOCW,Male,0,No,No,45,25-48,One year,DSL,Bank transfer (automatic),42.3,1840.75,No,0.0281,Low,14.26
9237-HQITU,Female,0,No,No,2,0-12,Month-to-month,Fiber optic,Electronic check,70.7,151.65,Yes,0.6899,High,585.31
9305-CDSKC,Female,0,No,No,8,0-12,Month-to-month,Fiber optic,Electronic check,99.65,820.5,Yes,0.7971,High,953.17
1452-KIOVK,Male,0,No,Yes,22,13-24,Month-to-month,Fiber optic,Credit card (automatic),89.1,1949.4,No,0.4893,Medium,523.16
6713-OKOMC,Female,0,No,No,10,0-12,Month-to-month,DSL,Mailed check,29.75,301.9,No,0.2938,Low,104.89
7892-POOKP,Female,0,Yes,No,28,25-48,Month-to-month,Fiber optic,Electronic check,104.8,3046.05,Yes,0.6242,High,784.99
6388-TABGU,Male,0,No,Yes,62,49+,One year,DSL,Bank transfer (automatic),56.15,3487.95,No,0.0105,Low,7.07
9763-GRSKD,Male,0,Yes,Yes,13,13-24,Month-to-month,DSL,Mailed check,49.95,587.45,No,0.2063,Low,123.66
7469-LKBCI,Male,0,No,No,16,13-24,Two year,No,Credit card (automatic),18.95,326.8,No,0.0276,Low,6.28
8091-TTVAX,Male,0,Yes,No,58,49+,One year,Fiber optic,Credit card (automatic),100.35,5681.1,No,0.1798,Low,216.52
0280-XJGEX,Male,0,No,No,49,49+,Month-to-month,Fiber optic,Bank transfer (automatic),103.7,5036.3,Yes,0.4367,Medium,543.43
5129-JLPIS,Male,0,No,No,25,25-48,Month-to-month,Fiber optic,Electronic check,105.5,2686.05,No,0.4616,Medium,584.39
3655-SNQYZ,Female,0,Yes,Yes,69,49+,Two year,Fiber optic,Credit card (automatic),113.25,7895.15,No,0.0322,Low,43.76
8191-XWSZG,Female,0,No,No,52,49+,One year,No,Mailed check,20.65,1022.95,No,0.0108,Low,2.68
9959-WOFKT,Male,0,No,Yes,71,49+,Two year,Fiber optic,Bank transfer (automatic),106.7,7382.25,No,0.0415,Low,53.14
4190-MFLUW,Female,0,Yes,Yes,10,0-12,Month-to-month,DSL,Credit card (automatic),55.2,528.35,Yes,0.1535,Low,101.68
4183-MYFRB,Female,0,No,No,21,13-24,Month-to-month,Fiber optic,Electronic check,90.05,1862.9,No,0.5627,High,608.05
8779-QRDMV,Male,1,No,No,1,0-12,Month-to-month,DSL,Electronic check,39.65,39.65,Yes,0.7248,High,344.86
1680-VDCWW,Male,0,Yes,No,12,0-12,One year,No,Bank transfer (automatic),19.8,202.25,No,0.0633,Low,15.04
1066-JKSGK,Male,0,No,No,1,0-12,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.1926,Low,46.57
3638-WEABW,Female,0,Yes,No,58,49+,Two year,DSL,Credit card (automatic),59.9,3505.1,No,0.0168,Low,12.08
6322-HRPFA,Male,0,Yes,Yes,49,49+,Month-to-month,DSL,Credit card (automatic),59.6,2970.3,No,0.0256,Low,18.31
6865-JZNKO,Female,0,No,No,30,25-48,Month-to-month,DSL,Bank transfer (automatic),55.3,1530.6,No,0.1117,Low,74.12
6467-CHFZW,Male,0,Yes,Yes,47,25-48,Month-to-month,Fiber optic,Electronic check,99.35,4749.15,Yes,0.4954,Medium,590.62
8665-UTDHZ,Male,0,Yes,Yes,1,0-12,Month-to-month,DSL,Electronic check,30.2,30.2,Yes,0.4682,Medium,169.68
